artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,World/Traditional, blues, classical,R&B,metal,hip hop, latin, hip hop,country, jazz, R&B, pop,rock,pop,latin, Dance/Electronic, Folk/Acoustic,Dance/Electronic, easy listening,set(), country,easy listening, metal,Folk/Acoustic, rock,cat,cluster
Fuel,Hemorrhage (In My Hands),0.33373928319313695,0.0,2000,0.550561797752809,0.21749408983451538,0.8220527486495074,0.09090909090909091,0.8212273940112659,1.0,0.031114327062228657,0.00011045299251788559,0.0003461928934010152,0.2627781118460613,0.3143651727457482,0.6100495915985997,"rock, pop, metal",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,7
Destiny's Child,"Independent Women, Pt. 1",0.2913489570142208,0.0,2001,0.7303370786516854,0.710401891252955,0.5794936977015147,0.5454545454545454,0.8267615377013539,0.0,0.3306801736613604,0.3708892633953455,3.7461928934010152e-06,0.1773902585688515,0.9507968766713019,0.2515049856794314,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,1
Gabrielle,Rise,0.2858524677620128,0.0,2001,0.6741573033707865,0.5070921985815604,0.45132930833598134,0.7272727272727273,0.5448660934874987,1.0,0.005065123010130247,0.32273257834580354,8.964467005076143e-06,0.08238123872519544,0.6341854743822869,0.561246950249284,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,9
Creed,With Arms Wide Open,0.4359470397094405,0.0,1999,0.7191011235955056,0.3321513002364066,0.51276347844508,0.0,0.5979839905128965,1.0,0.012662807525325621,0.004334921342714939,0.0009035532994923857,0.11485267588695129,0.11006524762006631,0.5226543439058025,"pop, rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1.0,7
Jimmy Eat World,The Middle,0.1424048757092896,0.0,2001,0.8764044943820225,0.607565011820331,0.8411185255799174,0.18181818181818182,0.7454293902559541,1.0,0.05318379160636759,0.037993370361384164,0.0,0.043896572459410706,0.9251256818911114,0.6771308475655032,"rock, pop",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,7
Missy Elliott,One Minute Man (feat. Ludacris),0.37717232571548664,1.0,2001,0.6404494382022472,0.58274231678487,0.6504607562758183,0.8181818181818182,0.597638106532266,1.0,0.5531837916063677,0.027234961999252443,3.015228426395939e-06,0.15694527961515334,0.5689378543159695,0.22422297655669884,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
iio,Rapture (feat.Nadia Ali),0.37878894020143017,0.0,2006,0.6067415730337079,0.6288416075650118,0.8474737845567206,0.7272727272727273,0.5984286984879928,1.0,0.0262301013024602,0.07395719260051017,0.01878172588832487,0.21346963319302467,0.6020964809070488,0.42380927124217677,Dance/Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3333333333333333,2
P.O.D.,Youth of the Nation,0.38593976494425375,0.0,2001,0.7752808988764045,0.5130023640661938,0.8527698337040568,0.7272727272727273,0.6414171360806403,1.0,0.07036903039073808,0.008525577552345292,0.010761421319796955,0.4431749849669272,0.5122472991763826,0.25092818500053043,"rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,7
Gorillaz,Clint Eastwood,0.6140979560604183,1.0,2001,0.8314606741573034,0.6312056737588653,0.6769410020124986,0.9090909090909091,0.5873604111078169,0.0,0.2673661360347323,0.025902968582988517,0.0,0.058087793144918826,0.5208043641031127,0.7155908560517662,hip hop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,4
Jennifer Lopez,Love Don't Cost a Thing,0.29159953225954205,0.0,2001,0.7528089887640449,0.7765957446808511,0.8337040567736468,0.36363636363636365,0.7608953453898606,0.0,0.0859261939218524,0.0031053889584713146,3.5939086294416242e-06,0.5429945880938063,0.6919456626377153,0.2490055160708603,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,4
